"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2008","Luxembourg","Reporting country","Total","Total","Number","957",""
"2008","Luxembourg","Foreign country","Total","Total","Number","16,728",""
"2008","Luxembourg","Unknown","Total","Total","Number","73",""
"2008","Luxembourg","Europe","Total","Total","Number",":",""
"2008","Luxembourg","Belgium","Total","Total","Number","1,002",""
"2008","Luxembourg","Bulgaria","Total","Total","Number","163",""
"2008","Luxembourg","Czechia","Total","Total","Number","111",""
"2008","Luxembourg","Denmark","Total","Total","Number","130",""
"2008","Luxembourg","Germany (until 1990 former territory of the FRG)","Total","Total","Number","1,130",""
"2008","Luxembourg","Estonia","Total","Total","Number","71",""
"2008","Luxembourg","Ireland","Total","Total","Number","100",""
"2008","Luxembourg","Greece","Total","Total","Number","94",""
"2008","Luxembourg","Spain","Total","Total","Number","248",""
"2008","Luxembourg","France","Total","Total","Number","3,201",""
"2008","Luxembourg","Croatia","Total","Total","Number","8",""
"2008","Luxembourg","Italy","Total","Total","Number","813",""
"2008","Luxembourg","Cyprus","Total","Total","Number","5",""
"2008","Luxembourg","Latvia","Total","Total","Number","53",""
"2008","Luxembourg","Lithuania","Total","Total","Number","89",""
"2008","Luxembourg","Luxembourg","Total","Total","Number","957",""
"2008","Luxembourg","Hungary","Total","Total","Number","126",""
"2008","Luxembourg","Malta","Total","Total","Number","30",""
"2008","Luxembourg","Netherlands","Total","Total","Number","291",""
"2008","Luxembourg","Austria","Total","Total","Number","58",""
"2008","Luxembourg","Poland","Total","Total","Number","489",""
"2008","Luxembourg","Portugal","Total","Total","Number","4,531",""
"2008","Luxembourg","Romania","Total","Total","Number","277",""
"2008","Luxembourg","Slovenia","Total","Total","Number","49",""
"2008","Luxembourg","Slovakia","Total","Total","Number","82",""
"2008","Luxembourg","Finland","Total","Total","Number","86",""
"2008","Luxembourg","Sweden","Total","Total","Number","186",""
"2008","Luxembourg","United Kingdom","Total","Total","Number","489",""
