"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Switzerland","Total","Age reached during the year","Less than 15 years","Number","Total","12,334","b"
"2011","Switzerland","Total","Age reached during the year","Less than 15 years","Number","Males","6,403","b"
"2011","Switzerland","Total","Age reached during the year","Less than 15 years","Number","Females","5,931","b"
"2011","Switzerland","Total","Age reached during the year","From 15 to 64 years","Number","Total","79,732","b"
"2011","Switzerland","Total","Age reached during the year","From 15 to 64 years","Number","Males","43,749","b"
"2011","Switzerland","Total","Age reached during the year","From 15 to 64 years","Number","Females","35,983","b"
"2011","Switzerland","Total","Age reached during the year","65 years or over","Number","Total","4,428","b"
"2011","Switzerland","Total","Age reached during the year","65 years or over","Number","Males","2,547","b"
"2011","Switzerland","Total","Age reached during the year","65 years or over","Number","Females","1,881","b"
"2012","Belgium","Total","Age reached during the year","Total","Number","Total","93,600",""
"2012","Belgium","Total","Age reached during the year","Total","Number","Males","54,298",""
"2012","Belgium","Total","Age reached during the year","Total","Number","Females","39,302",""
"2012","Belgium","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2012","Belgium","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2012","Belgium","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2012","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2012","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2012","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
