"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Cyprus","Total","Age reached during the year","Total","Number","Total","4,895",""
"2011","Cyprus","Belgium","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Denmark","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Ireland","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Spain","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","France","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Italy","Age reached during the year","Total","Number","Total",":",""
"2011","Cyprus","Cyprus","Age reached during the year","Total","Number","Total",":",""
