"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Estonia","United Kingdom","Age reached during the year","Total","Number","Total","164",""
"2007","Estonia","Norway","Age reached during the year","Total","Number","Total","37",""
"2007","Estonia","Switzerland","Age reached during the year","Total","Number","Total","9",""
"2007","Estonia","Turkey","Age reached during the year","Total","Number","Total","9",""
"2007","Estonia","Serbia","Age reached during the year","Total","Number","Total","3",""
"2007","Estonia","Russia","Age reached during the year","Total","Number","Total","221",""
"2007","Estonia","Africa","Age reached during the year","Total","Number","Total","1",""
"2007","Estonia","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Estonia","United States","Age reached during the year","Total","Number","Total","57",""
"2007","Estonia","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Estonia","South America","Age reached during the year","Total","Number","Total",":",""
"2007","Estonia","Asia","Age reached during the year","Total","Number","Total","16",""
"2007","Estonia","Oceania","Age reached during the year","Total","Number","Total","8",""
"2007","Ireland","Total","Age reached during the year","Total","Number","Total","48,040",""
"2007","Ireland","Unknown","Age reached during the year","Total","Number","Total","0",""
"2007","Ireland","Belgium","Age reached during the year","Total","Number","Total","198",""
"2007","Ireland","Bulgaria","Age reached during the year","Total","Number","Total","59",""
"2007","Ireland","Czechia","Age reached during the year","Total","Number","Total","503",""
"2007","Ireland","Denmark","Age reached during the year","Total","Number","Total","116",""
"2007","Ireland","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","1,621",""
"2007","Ireland","Estonia","Age reached during the year","Total","Number","Total","218",""
"2007","Ireland","Ireland","Age reached during the year","Total","Number","Total","0",""
"2007","Ireland","Greece","Age reached during the year","Total","Number","Total","80",""
"2007","Ireland","Spain","Age reached during the year","Total","Number","Total","1,048",""
"2007","Ireland","France","Age reached during the year","Total","Number","Total","1,783",""
"2007","Ireland","Croatia","Age reached during the year","Total","Number","Total","67",""
"2007","Ireland","Italy","Age reached during the year","Total","Number","Total","1,039",""
"2007","Ireland","Cyprus","Age reached during the year","Total","Number","Total","11",""
"2007","Ireland","Latvia","Age reached during the year","Total","Number","Total","1,223",""
"2007","Ireland","Lithuania","Age reached during the year","Total","Number","Total","2,186",""
"2007","Ireland","Luxembourg","Age reached during the year","Total","Number","Total","17",""
"2007","Ireland","Hungary","Age reached during the year","Total","Number","Total","297",""
"2007","Ireland","Malta","Age reached during the year","Total","Number","Total","18",""
"2007","Ireland","Netherlands","Age reached during the year","Total","Number","Total","591",""
"2007","Ireland","Austria","Age reached during the year","Total","Number","Total","81",""
"2007","Ireland","Poland","Age reached during the year","Total","Number","Total","6,250",""
"2007","Ireland","Portugal","Age reached during the year","Total","Number","Total","289",""
"2007","Ireland","Romania","Age reached during the year","Total","Number","Total","578",""
"2007","Ireland","Slovenia","Age reached during the year","Total","Number","Total","9",""
"2007","Ireland","Slovakia","Age reached during the year","Total","Number","Total","861",""
"2007","Ireland","Finland","Age reached during the year","Total","Number","Total","133",""
"2007","Ireland","Sweden","Age reached during the year","Total","Number","Total","296",""
"2007","Ireland","United Kingdom","Age reached during the year","Total","Number","Total","6,994",""
"2007","Ireland","Norway","Age reached during the year","Total","Number","Total","44",""
"2007","Ireland","Switzerland","Age reached during the year","Total","Number","Total","67",""
"2007","Ireland","Turkey","Age reached during the year","Total","Number","Total","78",""
"2007","Ireland","Serbia","Age reached during the year","Total","Number","Total","0",""
"2007","Ireland","Russia","Age reached during the year","Total","Number","Total","271",""
"2007","Ireland","Africa","Age reached during the year","Total","Number","Total","2,563",""
"2007","Ireland","Northern America","Age reached during the year","Total","Number","Total","3,186",""
"2007","Ireland","United States","Age reached during the year","Total","Number","Total","1,955",""
"2007","Ireland","Central America","Age reached during the year","Total","Number","Total","33",""
"2007","Ireland","South America","Age reached during the year","Total","Number","Total","547",""
"2007","Ireland","Asia","Age reached during the year","Total","Number","Total","4,478",""
"2007","Ireland","Oceania","Age reached during the year","Total","Number","Total","9,318",""
"2007","Greece","Total","Age reached during the year","Total","Number","Total","40,400",""
"2007","Greece","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Belgium","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Czechia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Denmark","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Estonia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Ireland","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Greece","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Spain","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","France","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Croatia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Italy","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Latvia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Hungary","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Malta","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Austria","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Poland","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Portugal","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Romania","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Finland","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Sweden","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Norway","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Turkey","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Serbia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Russia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Africa","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","United States","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","South America","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Asia","Age reached during the year","Total","Number","Total",":",""
"2007","Greece","Oceania","Age reached during the year","Total","Number","Total",":",""
"2007","Spain","Total","Age reached during the year","Total","Number","Total","227,065",""
"2007","Spain","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Spain","Belgium","Age reached during the year","Total","Number","Total","1,294",""
"2007","Spain","Bulgaria","Age reached during the year","Total","Number","Total","840",""
